algorithm,input_file,input_size,repetitions,wall_time_ms
merge,random_0.csv,0,30,0
quick,random_0.csv,0,30,0
counting,random_0.csv,0,30,0
bubble,random_0.csv,0,400,0
merge,random_100.csv,100,30,3
quick,random_100.csv,100,30,2
counting,random_100.csv,100,30,51
bubble,random_100.csv,100,400,17
merge,random_1000.csv,1000,30,14
quick,random_1000.csv,1000,30,4
counting,random_1000.csv,1000,30,8
bubble,random_1000.csv,1000,400,517
merge,random_10000.csv,10000,30,92
quick,random_10000.csv,10000,30,40
counting,random_10000.csv,10000,30,17
merge,random_100000.csv,100000,30,603
quick,random_100000.csv,100000,30,360
counting,random_100000.csv,100000,30,65
merge,random_11000.csv,11000,30,104
quick,random_11000.csv,11000,30,43
counting,random_11000.csv,11000,30,25
merge,random_12000.csv,12000,30,120
quick,random_12000.csv,12000,30,43
counting,random_12000.csv,12000,30,18
merge,random_13000.csv,13000,30,99
quick,random_13000.csv,13000,30,52
counting,random_13000.csv,13000,30,12
merge,random_14000.csv,14000,30,137
quick,random_14000.csv,14000,30,58
counting,random_14000.csv,14000,30,22
merge,random_15000.csv,15000,30,108
quick,random_15000.csv,15000,30,64
counting,random_15000.csv,15000,30,22
merge,random_16000.csv,16000,30,205
quick,random_16000.csv,16000,30,76
counting,random_16000.csv,16000,30,34
merge,random_17000.csv,17000,30,154
quick,random_17000.csv,17000,30,91
counting,random_17000.csv,17000,30,24
merge,random_18000.csv,18000,30,207
quick,random_18000.csv,18000,30,99
counting,random_18000.csv,18000,30,27
merge,random_19000.csv,19000,30,164
quick,random_19000.csv,19000,30,93
counting,random_19000.csv,19000,30,72
merge,random_2000.csv,2000,30,34
quick,random_2000.csv,2000,30,11
counting,random_2000.csv,2000,30,10
bubble,random_2000.csv,2000,400,2605
merge,random_20000.csv,20000,30,216
quick,random_20000.csv,20000,30,103
counting,random_20000.csv,20000,30,33
merge,random_21000.csv,21000,30,217
quick,random_21000.csv,21000,30,100
counting,random_21000.csv,21000,30,41
merge,random_22000.csv,22000,30,222
quick,random_22000.csv,22000,30,82
counting,random_22000.csv,22000,30,23
merge,random_23000.csv,23000,30,270
quick,random_23000.csv,23000,30,126
counting,random_23000.csv,23000,30,35
merge,random_24000.csv,24000,30,348
quick,random_24000.csv,24000,30,143
counting,random_24000.csv,24000,30,40
merge,random_2500.csv,2500,30,31
quick,random_2500.csv,2500,30,19
counting,random_2500.csv,2500,30,20
bubble,random_2500.csv,2500,400,4337
merge,random_25000.csv,25000,30,287
quick,random_25000.csv,25000,30,177
counting,random_25000.csv,25000,30,25
merge,random_26000.csv,26000,30,453
quick,random_26000.csv,26000,30,150
counting,random_26000.csv,26000,30,43
merge,random_27000.csv,27000,30,266
quick,random_27000.csv,27000,30,125
counting,random_27000.csv,27000,30,44
merge,random_28000.csv,28000,30,358
quick,random_28000.csv,28000,30,168
counting,random_28000.csv,28000,30,55
merge,random_29000.csv,29000,30,304
quick,random_29000.csv,29000,30,133
counting,random_29000.csv,29000,30,49
merge,random_3000.csv,3000,30,59
quick,random_3000.csv,3000,30,23
counting,random_3000.csv,3000,30,15
bubble,random_3000.csv,3000,400,5284
merge,random_30000.csv,30000,30,328
quick,random_30000.csv,30000,30,158
counting,random_30000.csv,30000,30,44
merge,random_31000.csv,31000,30,748
quick,random_31000.csv,31000,30,275
counting,random_31000.csv,31000,30,77
merge,random_32000.csv,32000,30,325
quick,random_32000.csv,32000,30,177
counting,random_32000.csv,32000,30,40
merge,random_33000.csv,33000,30,281
quick,random_33000.csv,33000,30,157
counting,random_33000.csv,33000,30,60
merge,random_34000.csv,34000,30,477
quick,random_34000.csv,34000,30,182
counting,random_34000.csv,34000,30,100
merge,random_35000.csv,35000,30,493
quick,random_35000.csv,35000,30,219
counting,random_35000.csv,35000,30,99
merge,random_36000.csv,36000,30,742
quick,random_36000.csv,36000,30,271
counting,random_36000.csv,36000,30,57
merge,random_37000.csv,37000,30,450
quick,random_37000.csv,37000,30,162
counting,random_37000.csv,37000,30,53
merge,random_38000.csv,38000,30,386
quick,random_38000.csv,38000,30,250
counting,random_38000.csv,38000,30,57
merge,random_39000.csv,39000,30,451
quick,random_39000.csv,39000,30,168
counting,random_39000.csv,39000,30,39
merge,random_4000.csv,4000,30,43
quick,random_4000.csv,4000,30,19
counting,random_4000.csv,4000,30,25
bubble,random_4000.csv,4000,400,8450
merge,random_40000.csv,40000,30,305
quick,random_40000.csv,40000,30,145
counting,random_40000.csv,40000,30,40
merge,random_41000.csv,41000,30,261
quick,random_41000.csv,41000,30,178
counting,random_41000.csv,41000,30,71
merge,random_42000.csv,42000,30,310
quick,random_42000.csv,42000,30,152
counting,random_42000.csv,42000,30,38
merge,random_43000.csv,43000,30,323
quick,random_43000.csv,43000,30,160
counting,random_43000.csv,43000,30,38
merge,random_44000.csv,44000,30,258
quick,random_44000.csv,44000,30,164
counting,random_44000.csv,44000,30,95
merge,random_45000.csv,45000,30,530
quick,random_45000.csv,45000,30,229
counting,random_45000.csv,45000,30,66
merge,random_46000.csv,46000,30,402
quick,random_46000.csv,46000,30,221
counting,random_46000.csv,46000,30,52
merge,random_47000.csv,47000,30,576
quick,random_47000.csv,47000,30,233
counting,random_47000.csv,47000,30,76
merge,random_48000.csv,48000,30,387
quick,random_48000.csv,48000,30,201
counting,random_48000.csv,48000,30,46
merge,random_49000.csv,49000,30,402
quick,random_49000.csv,49000,30,330
counting,random_49000.csv,49000,30,77
merge,random_500.csv,500,30,7
quick,random_500.csv,500,30,3
counting,random_500.csv,500,30,8
bubble,random_500.csv,500,400,233
merge,random_5000.csv,5000,30,62
quick,random_5000.csv,5000,30,21
counting,random_5000.csv,5000,30,10
merge,random_50000.csv,50000,30,467
quick,random_50000.csv,50000,30,214
counting,random_50000.csv,50000,30,53
merge,random_51000.csv,51000,30,372
quick,random_51000.csv,51000,30,247
counting,random_51000.csv,51000,30,57
merge,random_52000.csv,52000,30,426
quick,random_52000.csv,52000,30,231
counting,random_52000.csv,52000,30,82
merge,random_53000.csv,53000,30,358
quick,random_53000.csv,53000,30,207
counting,random_53000.csv,53000,30,36
merge,random_54000.csv,54000,30,485
quick,random_54000.csv,54000,30,218
counting,random_54000.csv,54000,30,62
merge,random_55000.csv,55000,30,481
quick,random_55000.csv,55000,30,256
counting,random_55000.csv,55000,30,67
merge,random_56000.csv,56000,30,492
quick,random_56000.csv,56000,30,242
counting,random_56000.csv,56000,30,49
merge,random_57000.csv,57000,30,455
quick,random_57000.csv,57000,30,239
counting,random_57000.csv,57000,30,78
merge,random_58000.csv,58000,30,533
quick,random_58000.csv,58000,30,311
counting,random_58000.csv,58000,30,75
merge,random_59000.csv,59000,30,599
quick,random_59000.csv,59000,30,243
counting,random_59000.csv,59000,30,63
merge,random_6000.csv,6000,30,59
quick,random_6000.csv,6000,30,34
counting,random_6000.csv,6000,30,14
merge,random_60000.csv,60000,30,454
quick,random_60000.csv,60000,30,331
counting,random_60000.csv,60000,30,71
merge,random_61000.csv,61000,30,569
quick,random_61000.csv,61000,30,279
counting,random_61000.csv,61000,30,70
merge,random_62000.csv,62000,30,626
quick,random_62000.csv,62000,30,272
counting,random_62000.csv,62000,30,77
merge,random_63000.csv,63000,30,532
quick,random_63000.csv,63000,30,258
counting,random_63000.csv,63000,30,58
merge,random_64000.csv,64000,30,506
quick,random_64000.csv,64000,30,242
counting,random_64000.csv,64000,30,77
merge,random_65000.csv,65000,30,489
quick,random_65000.csv,65000,30,279
counting,random_65000.csv,65000,30,72
merge,random_66000.csv,66000,30,666
quick,random_66000.csv,66000,30,256
counting,random_66000.csv,66000,30,64
merge,random_67000.csv,67000,30,467
quick,random_67000.csv,67000,30,359
counting,random_67000.csv,67000,30,61
merge,random_68000.csv,68000,30,556
quick,random_68000.csv,68000,30,304
counting,random_68000.csv,68000,30,51
merge,random_69000.csv,69000,30,511
quick,random_69000.csv,69000,30,287
counting,random_69000.csv,69000,30,69
merge,random_7000.csv,7000,30,107
