input_file,algorithm,input_size,runs,wall_time_s,energy_kwh,emissions_kgco2eq
random_10000.csv,merge,10000,30,1.889795,5.72444E-06,1.6647E-06
random_10000.csv,quick,10000,30,1.764762,5.19319E-06,1.51021E-06
random_10000.csv,counting,10000,30,1.562313,4.3611E-06,1.26823E-06
random_10000.csv,bubble,10000,5,16.331167,4.02561E-05,1.17067E-05
random_11721.csv,merge,11721,30,2.031884,6.33799E-06,1.84312E-06
random_11721.csv,quick,11721,30,1.836774,5.49235E-06,1.5972E-06
random_11721.csv,counting,11721,30,1.568938,4.385E-06,1.27518E-06
random_11721.csv,bubble,11721,5,22.12311,4.88986E-05,1.422E-05
random_13738.csv,merge,13738,30,2.112714,6.75361E-06,1.96399E-06
random_13738.csv,quick,13738,30,1.901934,5.75593E-06,1.67385E-06
random_13738.csv,counting,13738,30,1.568646,4.56672E-06,1.32802E-06
random_13738.csv,bubble,13738,5,31.682922,7.05553E-05,2.05178E-05
random_16103.csv,merge,16103,30,2.231784,7.16701E-06,2.0842E-06
random_16103.csv,quick,16103,30,1.915181,5.9088E-06,1.71831E-06
random_16103.csv,counting,16103,30,1.575058,4.41162E-06,1.28292E-06
random_16103.csv,bubble,16103,5,41.778516,8.88363E-05,2.5834E-05
random_18874.csv,merge,18874,30,2.389345,7.76387E-06,2.25777E-06
random_18874.csv,quick,18874,30,2.01091,6.2071E-06,1.80506E-06
random_18874.csv,counting,18874,30,1.581109,4.43965E-06,1.29107E-06
random_18874.csv,bubble,18874,5,56.518444,0.000121587,3.53581E-05
random_22122.csv,merge,22122,30,2.620109,1.45229E-05,4.22333E-06
random_22122.csv,quick,22122,30,2.361314,7.69841E-06,2.23874E-06
random_22122.csv,counting,22122,30,1.598207,4.53267E-06,1.31812E-06
random_22122.csv,bubble,22122,5,79.867588,0.000173503,5.04555E-05
random_25929.csv,merge,25929,30,2.711443,1.75737E-05,5.11051E-06
random_25929.csv,quick,25929,30,2.225392,7.08937E-06,2.06163E-06
random_25929.csv,counting,25929,30,1.596413,4.50266E-06,1.3094E-06
random_25929.csv,bubble,25929,5,106.402416,0.000224992,6.54288E-05
random_30392.csv,merge,30392,30,2.758778,1.78274E-05,5.1843E-06
random_30392.csv,quick,30392,30,2.417524,7.87865E-06,2.29115E-06
random_30392.csv,counting,30392,30,1.603884,4.53314E-06,1.31826E-06
random_30392.csv,bubble,30392,5,145.929453,0.000307961,8.95566E-05
random_35622.csv,merge,35622,30,3.241185,9.13414E-06,2.65625E-06
random_35622.csv,quick,35622,30,2.529616,1.40411E-05,4.08321E-06
random_35622.csv,counting,35622,30,1.619622,4.59908E-06,1.33743E-06
random_35622.csv,bubble,35622,5,201.139202,0.000426868,0.000124135
random_41753.csv,merge,41753,30,3.287393,9.42137E-06,2.73978E-06
random_41753.csv,quick,41753,30,2.752766,1.77078E-05,5.14952E-06
random_41753.csv,counting,41753,30,1.625118,4.62093E-06,1.34379E-06
random_57362.csv,merge,57362,30,5.741594,1.66887E-05,4.85316E-06
random_57362.csv,quick,57362,30,3.332039,9.5026E-06,2.76341E-06
random_57362.csv,counting,57362,30,1.662828,4.77367E-06,1.38821E-06
random_67234.csv,merge,67234,30,4.480316,1.21273E-05,3.52669E-06
random_67234.csv,quick,67234,30,3.812995,1.37278E-05,3.9921E-06
random_67234.csv,counting,67234,30,1.680187,4.84669E-06,1.40944E-06
random_78805.csv,merge,78805,30,5.058928,1.5607E-05,4.5386E-06
random_78805.csv,quick,78805,30,4.097062,1.49052E-05,4.33451E-06
random_78805.csv,counting,78805,30,1.703377,4.94056E-06,1.43674E-06
random_92367.csv,merge,92367,30,5.766632,1.72949E-05,5.02944E-06
random_92367.csv,quick,92367,30,5.238894,1.30299E-05,3.78916E-06
random_92367.csv,counting,92367,30,1.730131,5.0521E-06,1.46918E-06
random_108264.csv,merge,108264,30,6.486504,1.61551E-05,4.69799E-06
random_108264.csv,quick,108264,30,6.486393,1.63999E-05,4.76919E-06
random_108264.csv,counting,108264,30,1.852041,5.55083E-06,1.61421E-06
random_126896.csv,merge,126896,30,7.597355,1.86671E-05,5.42848E-06
random_126896.csv,quick,126896,30,7.184443,2.12589E-05,6.18218E-06
random_126896.csv,counting,126896,30,1.854952,5.57322E-06,1.62072E-06
random_148735.csv,merge,148735,30,9.008791,2.37671E-05,6.9116E-06
random_148735.csv,quick,148735,30,8.118561,2.30561E-05,6.70482E-06
random_148735.csv,counting,148735,30,1.895534,5.73228E-06,1.66698E-06
random_174333.csv,merge,174333,30,10.248858,2.77629E-05,8.07359E-06
random_174333.csv,quick,174333,30,9.798892,2.35621E-05,6.85197E-06
random_174333.csv,counting,174333,30,1.901772,5.75618E-06,1.67393E-06
random_204336.csv,merge,204336,30,12.403634,3.24384E-05,9.43324E-06
random_204336.csv,quick,204336,30,11.715099,2.70022E-05,7.85238E-06
random_204336.csv,counting,204336,30,2.0358,6.30773E-06,1.83432E-06
random_239503.csv,merge,239503,30,14.246392,3.44745E-05,1.00254E-05
random_239503.csv,quick,239503,30,14.503536,3.67363E-05,1.06831E-05
random_239503.csv,counting,239503,30,2.037976,6.31771E-06,1.83722E-06
random_280722.csv,merge,280722,30,17.343135,4.20031E-05,1.22147E-05
random_280722.csv,quick,280722,30,17.34569,4.09902E-05,1.19201E-05
random_280722.csv,counting,280722,30,2.132421,6.70679E-06,1.95037E-06
random_329034.csv,merge,329034,30,21.164162,4.72256E-05,1.37334E-05
random_329034.csv,quick,329034,30,22.183087,4.89359E-05,1.42308E-05
random_329034.csv,counting,329034,30,2.211388,7.03217E-06,2.04499E-06
random_385662.csv,merge,385662,30,24.825257,5.83406E-05,1.69657E-05
random_385662.csv,quick,385662,30,29.132046,6.25669E-05,1.81948E-05
random_385662.csv,counting,385662,30,2.344741,7.57823E-06,2.20379E-06
random_452035.csv,merge,452035,30,29.192449,6.2591E-05,1.82018E-05
random_452035.csv,quick,452035,30,36.271852,8.0751E-05,2.34828E-05
random_452035.csv,counting,452035,30,2.494734,8.19603E-06,2.38345E-06
random_529832.csv,merge,529832,30,34.593842,7.45537E-05,2.16806E-05
random_529832.csv,quick,529832,30,47.38575,0.000104036,3.02542E-05
random_529832.csv,counting,529832,30,2.962555,1.85713E-05,5.40061E-06
random_621017.csv,merge,621017,30,42.184494,9.27317E-05,2.69668E-05
random_621017.csv,quick,621017,30,60.529255,0.000128436,3.73499E-05
random_621017.csv,counting,621017,30,2.90457,1.51968E-05,4.4193E-06
random_727895.csv,merge,727895,30,48.827944,0.000107834,3.13585E-05
random_727895.csv,quick,727895,30,80.408117,0.000170029,4.94452E-05
random_727895.csv,counting,727895,30,3.069904,1.91559E-05,5.57064E-06
random_853168.csv,merge,853168,30,58.233086,0.000127208,3.69927E-05
random_853168.csv,quick,853168,30,103.443033,0.000218807,6.363E-05
random_853168.csv,counting,853168,30,3.350666,9.58828E-06,2.78832E-06
random_1000000.csv,merge,1000000,30,70.54429,0.000151616,4.40906E-05
random_1000000.csv,quick,1000000,30,137.302613,0.000292469,8.50515E-05
random_1000000.csv,counting,1000000,30,3.728853,1.22172E-05,3.55282E-06
sorted_10000.csv,merge,10000,30,1.820184,5.42088E-06,1.57642E-06
sorted_10000.csv,counting,10000,30,1.561132,4.35639E-06,1.26686E-06
sorted_10000.csv,bubble,10000,5,8.672009,2.10514E-05,6.12185E-06
sorted_11721.csv,merge,11721,30,1.919209,5.82922E-06,1.69517E-06
sorted_11721.csv,counting,11721,30,1.556485,4.33802E-06,1.26152E-06
sorted_11721.csv,bubble,11721,5,12.081551,3.06633E-05,8.91705E-06
sorted_13738.csv,merge,13738,30,1.997781,6.15675E-06,1.79041E-06
sorted_13738.csv,counting,13738,30,1.576416,4.4178E-06,1.28472E-06
sorted_13738.csv,bubble,13738,5,15.914844,3.61329E-05,1.05076E-05
sorted_16103.csv,merge,16103,30,2.09071,6.54251E-06,1.90259E-06
sorted_16103.csv,counting,16103,30,1.58917,4.47267E-06,1.30067E-06
sorted_16103.csv,bubble,16103,5,22.187141,4.89501E-05,1.42349E-05
sorted_18874.csv,merge,18874,30,2.10857,6.60573E-06,1.92098E-06
sorted_18874.csv,counting,18874,30,1.594,4.49351E-06,1.30674E-06
sorted_18874.csv,bubble,18874,5,30.613032,6.69776E-05,1.94774E-05
sorted_22122.csv,merge,22122,30,2.23507,7.12637E-06,2.07239E-06
sorted_22122.csv,counting,22122,30,1.61657,4.58497E-06,1.33333E-06
sorted_22122.csv,bubble,22122,5,41.518828,9.24446E-05,2.68833E-05
sorted_25929.csv,merge,25929,30,2.462068,8.06042E-06,2.34401E-06
sorted_25929.csv,counting,25929,30,1.629416,4.65915E-06,1.3549E-06
sorted_25929.csv,bubble,25929,5,56.633489,0.000120895,3.51568E-05
sorted_30392.csv,merge,30392,30,2.496947,8.20356E-06,2.38564E-06
sorted_30392.csv,counting,30392,30,1.653299,4.73509E-06,1.37699E-06
sorted_30392.csv,bubble,30392,5,78.386048,0.000166607,4.84502E-05
sorted_35622.csv,merge,35622,30,2.883502,1.524E-05,4.43187E-06
sorted_35622.csv,counting,35622,30,1.67387,4.82203E-06,1.40227E-06
sorted_35622.csv,bubble,35622,5,106.713776,0.000225397,6.55465E-05
sorted_41753.csv,merge,41753,30,2.911959,1.53455E-05,4.46254E-06
sorted_41753.csv,counting,41753,30,1.692499,4.8989E-06,1.42463E-06
sorted_41753.csv,bubble,41753,5,146.629118,0.000312442,9.08597E-05
sorted_48939.csv,merge,48939,30,3.192518,8.94806E-06,2.60214E-06
sorted_48939.csv,counting,48939,30,1.738587,5.08733E-06,1.47942E-06
sorted_57362.csv,merge,57362,30,3.48532,1.0208E-05,2.96854E-06
sorted_57362.csv,counting,57362,30,1.778878,5.24854E-06,1.5263E-06
sorted_67234.csv,merge,67234,30,3.880553,1.31027E-05,3.81032E-06
sorted_67234.csv,counting,67234,30,1.826373,5.4477E-06,1.58422E-06
sorted_78805.csv,merge,78805,30,4.305228,1.14374E-05,3.32606E-06
sorted_78805.csv,counting,78805,30,1.880933,5.67457E-06,1.65019E-06
sorted_92367.csv,merge,92367,30,4.80824,1.46546E-05,4.26163E-06
sorted_92367.csv,counting,92367,30,2.009698,6.20218E-06,1.80362E-06
sorted_108264.csv,merge,108264,30,5.508306,1.42604E-05,4.14701E-06
sorted_108264.csv,counting,108264,30,2.095299,6.55129E-06,1.90515E-06
sorted_126896.csv,merge,126896,30,6.196527,1.92897E-05,5.60954E-06
sorted_126896.csv,counting,126896,30,2.19524,6.97308E-06,2.02781E-06
sorted_148735.csv,merge,148735,30,7.107504,2.08927E-05,6.0757E-06
sorted_148735.csv,counting,148735,30,2.327155,7.51539E-06,2.18551E-06
sorted_174333.csv,merge,174333,30,8.244568,2.35012E-05,6.83426E-06
sorted_174333.csv,counting,174333,30,2.460059,8.05331E-06,2.34194E-06
sorted_204336.csv,merge,204336,30,9.591385,2.26764E-05,6.59442E-06
