algorithm,input_file,input_size,repetitions,wall_time_ms
merge,random_100.csv,100,30,2
quick,random_100.csv,100,30,1
counting,random_100.csv,100,30,6
bubble,random_100.csv,100,400,14
merge,random_1000.csv,1000,30,15
quick,random_1000.csv,1000,30,5
counting,random_1000.csv,1000,30,9
bubble,random_1000.csv,1000,400,726
merge,random_10000.csv,10000,30,83
quick,random_10000.csv,10000,30,54
counting,random_10000.csv,10000,30,23
merge,random_2500.csv,2500,30,23
quick,random_2500.csv,2500,30,13
counting,random_2500.csv,2500,30,19
bubble,random_2500.csv,2500,400,3764
merge,random_500.csv,500,30,8
quick,random_500.csv,500,30,3
counting,random_500.csv,500,30,6
bubble,random_500.csv,500,400,198
merge,random_5000.csv,5000,30,45
quick,random_5000.csv,5000,30,36
counting,random_5000.csv,5000,30,23
merge,random_7500.csv,7500,30,129
quick,random_7500.csv,7500,30,48
counting,random_7500.csv,7500,30,31
merge,sorted_100.csv,100,30,2
quick,sorted_100.csv,100,30,2
counting,sorted_100.csv,100,30,1
bubble,sorted_100.csv,100,400,10
merge,sorted_1000.csv,1000,30,8
quick,sorted_1000.csv,1000,30,26
counting,sorted_1000.csv,1000,30,4
bubble,sorted_1000.csv,1000,400,90
merge,sorted_10000.csv,10000,30,85
quick,sorted_10000.csv,10000,30,568
counting,sorted_10000.csv,10000,30,30
merge,sorted_2500.csv,2500,30,22
quick,sorted_2500.csv,2500,30,50
counting,sorted_2500.csv,2500,30,4
bubble,sorted_2500.csv,2500,400,496
merge,sorted_500.csv,500,30,3
quick,sorted_500.csv,500,30,22
counting,sorted_500.csv,500,30,3
bubble,sorted_500.csv,500,400,59
merge,sorted_5000.csv,5000,30,36
quick,sorted_5000.csv,5000,30,162
counting,sorted_5000.csv,5000,30,9
merge,sorted_7500.csv,7500,30,46
quick,sorted_7500.csv,7500,30,352
counting,sorted_7500.csv,7500,30,33
merge,reverse_100.csv,100,30,2
quick,reverse_100.csv,100,30,2
counting,reverse_100.csv,100,30,0
bubble,reverse_100.csv,100,400,15
merge,reverse_1000.csv,1000,30,6
quick,reverse_1000.csv,1000,30,28
counting,reverse_1000.csv,1000,30,4
bubble,reverse_1000.csv,1000,400,223
merge,reverse_10000.csv,10000,30,63
quick,reverse_10000.csv,10000,30,1483
counting,reverse_10000.csv,10000,30,21
merge,reverse_2500.csv,2500,30,29
quick,reverse_2500.csv,2500,30,111
counting,reverse_2500.csv,2500,30,5
bubble,reverse_2500.csv,2500,400,1365
merge,reverse_500.csv,500,30,8
quick,reverse_500.csv,500,30,25
counting,reverse_500.csv,500,30,2
bubble,reverse_500.csv,500,400,63
merge,reverse_5000.csv,5000,30,36
quick,reverse_5000.csv,5000,30,407
counting,reverse_5000.csv,5000,30,7
merge,reverse_7500.csv,7500,30,81
quick,reverse_7500.csv,7500,30,1130
counting,reverse_7500.csv,7500,30,7
merge,nearly_sorted_100.csv,100,30,2
quick,nearly_sorted_100.csv,100,30,2
counting,nearly_sorted_100.csv,100,30,0
bubble,nearly_sorted_100.csv,100,400,14
merge,nearly_sorted_1000.csv,1000,30,20
quick,nearly_sorted_1000.csv,1000,30,5
counting,nearly_sorted_1000.csv,1000,30,3
bubble,nearly_sorted_1000.csv,1000,400,128
merge,nearly_sorted_10000.csv,10000,30,58
quick,nearly_sorted_10000.csv,10000,30,34
counting,nearly_sorted_10000.csv,10000,30,17
merge,nearly_sorted_2500.csv,2500,30,14
quick,nearly_sorted_2500.csv,2500,30,11
counting,nearly_sorted_2500.csv,2500,30,7
bubble,nearly_sorted_2500.csv,2500,400,871
merge,nearly_sorted_500.csv,500,30,2
quick,nearly_sorted_500.csv,500,30,4
counting,nearly_sorted_500.csv,500,30,2
bubble,nearly_sorted_500.csv,500,400,43
merge,nearly_sorted_5000.csv,5000,30,34
quick,nearly_sorted_5000.csv,5000,30,77
counting,nearly_sorted_5000.csv,5000,30,19
merge,nearly_sorted_7500.csv,7500,30,59
quick,nearly_sorted_7500.csv,7500,30,50
counting,nearly_sorted_7500.csv,7500,30,44
