algorithm,input_file,input_size,repetitions,wall_time_ms
merge,random_100.csv,100,30,1
quick,random_100.csv,100,30,0
counting,random_100.csv,100,30,2
bubble,random_100.csv,100,400,7
merge,random_1000.csv,1000,30,3
quick,random_1000.csv,1000,30,2
counting,random_1000.csv,1000,30,2
bubble,random_1000.csv,1000,400,260
merge,random_10000.csv,10000,30,40
quick,random_10000.csv,10000,30,18
counting,random_10000.csv,10000,30,7
merge,random_2500.csv,2500,30,8
quick,random_2500.csv,2500,30,5
counting,random_2500.csv,2500,30,3
bubble,random_2500.csv,2500,400,1058
merge,random_500.csv,500,30,2
quick,random_500.csv,500,30,1
counting,random_500.csv,500,30,3
bubble,random_500.csv,500,400,66
merge,random_5000.csv,5000,30,18
quick,random_5000.csv,5000,30,9
counting,random_5000.csv,5000,30,4
merge,random_7500.csv,7500,30,26
quick,random_7500.csv,7500,30,13
counting,random_7500.csv,7500,30,4
merge,sorted_100.csv,100,30,2
quick,sorted_100.csv,100,30,1
counting,sorted_100.csv,100,30,0
bubble,sorted_100.csv,100,400,6
merge,sorted_1000.csv,1000,30,3
quick,sorted_1000.csv,1000,30,8
counting,sorted_1000.csv,1000,30,1
bubble,sorted_1000.csv,1000,400,44
merge,sorted_10000.csv,10000,30,27
quick,sorted_10000.csv,10000,30,219
counting,sorted_10000.csv,10000,30,6
merge,sorted_2500.csv,2500,30,5
quick,sorted_2500.csv,2500,30,19
counting,sorted_2500.csv,2500,30,2
bubble,sorted_2500.csv,2500,400,199
merge,sorted_500.csv,500,30,2
quick,sorted_500.csv,500,30,9
counting,sorted_500.csv,500,30,1
bubble,sorted_500.csv,500,400,15
merge,sorted_5000.csv,5000,30,14
quick,sorted_5000.csv,5000,30,59
counting,sorted_5000.csv,5000,30,3
merge,sorted_7500.csv,7500,30,14
quick,sorted_7500.csv,7500,30,126
counting,sorted_7500.csv,7500,30,4
merge,reverse_100.csv,100,30,1
quick,reverse_100.csv,100,30,0
counting,reverse_100.csv,100,30,0
bubble,reverse_100.csv,100,400,7
merge,reverse_1000.csv,1000,30,3
quick,reverse_1000.csv,1000,30,11
counting,reverse_1000.csv,1000,30,1
bubble,reverse_1000.csv,1000,400,100
merge,reverse_10000.csv,10000,30,23
quick,reverse_10000.csv,10000,30,555
counting,reverse_10000.csv,10000,30,5
merge,reverse_2500.csv,2500,30,7
quick,reverse_2500.csv,2500,30,44
counting,reverse_2500.csv,2500,30,2
bubble,reverse_2500.csv,2500,400,586
merge,reverse_500.csv,500,30,2
quick,reverse_500.csv,500,30,9
counting,reverse_500.csv,500,30,1
bubble,reverse_500.csv,500,400,29
merge,reverse_5000.csv,5000,30,11
quick,reverse_5000.csv,5000,30,153
counting,reverse_5000.csv,5000,30,4
merge,reverse_7500.csv,7500,30,19
quick,reverse_7500.csv,7500,30,334
counting,reverse_7500.csv,7500,30,3
merge,nearly_sorted_100.csv,100,30,1
quick,nearly_sorted_100.csv,100,30,0
counting,nearly_sorted_100.csv,100,30,1
bubble,nearly_sorted_100.csv,100,400,7
merge,nearly_sorted_1000.csv,1000,30,3
quick,nearly_sorted_1000.csv,1000,30,2
counting,nearly_sorted_1000.csv,1000,30,2
bubble,nearly_sorted_1000.csv,1000,400,68
merge,nearly_sorted_10000.csv,10000,30,29
quick,nearly_sorted_10000.csv,10000,30,24
counting,nearly_sorted_10000.csv,10000,30,6
merge,nearly_sorted_2500.csv,2500,30,5
quick,nearly_sorted_2500.csv,2500,30,3
counting,nearly_sorted_2500.csv,2500,30,2
bubble,nearly_sorted_2500.csv,2500,400,322
merge,nearly_sorted_500.csv,500,30,2
quick,nearly_sorted_500.csv,500,30,2
counting,nearly_sorted_500.csv,500,30,1
bubble,nearly_sorted_500.csv,500,400,18
merge,nearly_sorted_5000.csv,5000,30,13
quick,nearly_sorted_5000.csv,5000,30,11
counting,nearly_sorted_5000.csv,5000,30,3
merge,nearly_sorted_7500.csv,7500,30,18
quick,nearly_sorted_7500.csv,7500,30,14
counting,nearly_sorted_7500.csv,7500,30,4
