algorithm,input_file,input_size,repetitions,wall_time_ms
merge,random_100.csv,100,30,2
quick,random_100.csv,100,30,0
counting,random_100.csv,100,30,3
bubble,random_100.csv,100,400,13
merge,random_1000.csv,1000,30,12
quick,random_1000.csv,1000,30,3
counting,random_1000.csv,1000,30,4
bubble,random_1000.csv,1000,400,294
merge,random_10000.csv,10000,30,83
quick,random_10000.csv,10000,30,36
counting,random_10000.csv,10000,30,19
merge,random_2500.csv,2500,30,14
quick,random_2500.csv,2500,30,6
counting,random_2500.csv,2500,30,5
bubble,random_2500.csv,2500,400,1554
merge,random_500.csv,500,30,6
quick,random_500.csv,500,30,4
counting,random_500.csv,500,30,4
bubble,random_500.csv,500,400,85
merge,random_5000.csv,5000,30,29
quick,random_5000.csv,5000,30,10
counting,random_5000.csv,5000,30,6
merge,random_7500.csv,7500,30,42
quick,random_7500.csv,7500,30,25
counting,random_7500.csv,7500,30,11
merge,sorted_100.csv,100,30,1
quick,sorted_100.csv,100,30,2
counting,sorted_100.csv,100,30,0
bubble,sorted_100.csv,100,400,9
merge,sorted_1000.csv,1000,30,5
quick,sorted_1000.csv,1000,30,32
counting,sorted_1000.csv,1000,30,2
bubble,sorted_1000.csv,1000,400,67
merge,sorted_10000.csv,10000,30,56
quick,sorted_10000.csv,10000,30,344
counting,sorted_10000.csv,10000,30,12
merge,sorted_2500.csv,2500,30,12
quick,sorted_2500.csv,2500,30,44
counting,sorted_2500.csv,2500,30,3
bubble,sorted_2500.csv,2500,400,334
merge,sorted_500.csv,500,30,5
quick,sorted_500.csv,500,30,9
counting,sorted_500.csv,500,30,3
bubble,sorted_500.csv,500,400,32
merge,sorted_5000.csv,5000,30,27
quick,sorted_5000.csv,5000,30,75
counting,sorted_5000.csv,5000,30,7
merge,sorted_7500.csv,7500,30,35
quick,sorted_7500.csv,7500,30,178
counting,sorted_7500.csv,7500,30,21
merge,reverse_100.csv,100,30,1
quick,reverse_100.csv,100,30,2
counting,reverse_100.csv,100,30,0
bubble,reverse_100.csv,100,400,18
merge,reverse_1000.csv,1000,30,6
quick,reverse_1000.csv,1000,30,45
counting,reverse_1000.csv,1000,30,2
bubble,reverse_1000.csv,1000,400,207
merge,reverse_10000.csv,10000,30,75
quick,reverse_10000.csv,10000,30,762
counting,reverse_10000.csv,10000,30,20
merge,reverse_2500.csv,2500,30,20
quick,reverse_2500.csv,2500,30,107
counting,reverse_2500.csv,2500,30,7
bubble,reverse_2500.csv,2500,400,713
merge,reverse_500.csv,500,30,5
quick,reverse_500.csv,500,30,19
counting,reverse_500.csv,500,30,2
bubble,reverse_500.csv,500,400,52
merge,reverse_5000.csv,5000,30,25
quick,reverse_5000.csv,5000,30,277
counting,reverse_5000.csv,5000,30,5
merge,reverse_7500.csv,7500,30,28
quick,reverse_7500.csv,7500,30,623
counting,reverse_7500.csv,7500,30,6
merge,nearly_sorted_100.csv,100,30,1
quick,nearly_sorted_100.csv,100,30,1
counting,nearly_sorted_100.csv,100,30,0
bubble,nearly_sorted_100.csv,100,400,20
merge,nearly_sorted_1000.csv,1000,30,4
quick,nearly_sorted_1000.csv,1000,30,5
counting,nearly_sorted_1000.csv,1000,30,2
bubble,nearly_sorted_1000.csv,1000,400,79
merge,nearly_sorted_10000.csv,10000,30,87
quick,nearly_sorted_10000.csv,10000,30,55
counting,nearly_sorted_10000.csv,10000,30,9
merge,nearly_sorted_2500.csv,2500,30,7
quick,nearly_sorted_2500.csv,2500,30,17
counting,nearly_sorted_2500.csv,2500,30,3
bubble,nearly_sorted_2500.csv,2500,400,468
merge,nearly_sorted_500.csv,500,30,2
quick,nearly_sorted_500.csv,500,30,2
counting,nearly_sorted_500.csv,500,30,1
bubble,nearly_sorted_500.csv,500,400,30
merge,nearly_sorted_5000.csv,5000,30,29
quick,nearly_sorted_5000.csv,5000,30,23
counting,nearly_sorted_5000.csv,5000,30,8
merge,nearly_sorted_7500.csv,7500,30,24
quick,nearly_sorted_7500.csv,7500,30,18
counting,nearly_sorted_7500.csv,7500,30,20
