algorithm,input_file,input_size,repetitions,wall_time_ms
merge,random_100.csv,100,30,1
quick,random_100.csv,100,30,1
counting,random_100.csv,100,30,2
bubble,random_100.csv,100,400,10
merge,random_1000.csv,1000,30,4
quick,random_1000.csv,1000,30,3
counting,random_1000.csv,1000,30,3
bubble,random_1000.csv,1000,400,351
merge,random_10000.csv,10000,30,46
quick,random_10000.csv,10000,30,22
counting,random_10000.csv,10000,30,7
merge,random_2500.csv,2500,30,13
quick,random_2500.csv,2500,30,5
counting,random_2500.csv,2500,30,5
bubble,random_2500.csv,2500,400,2018
merge,random_500.csv,500,30,4
quick,random_500.csv,500,30,2
counting,random_500.csv,500,30,3
bubble,random_500.csv,500,400,107
merge,random_5000.csv,5000,30,27
quick,random_5000.csv,5000,30,12
counting,random_5000.csv,5000,30,5
merge,random_7500.csv,7500,30,43
quick,random_7500.csv,7500,30,20
counting,random_7500.csv,7500,30,7
merge,sorted_100.csv,100,30,1
quick,sorted_100.csv,100,30,1
counting,sorted_100.csv,100,30,0
bubble,sorted_100.csv,100,400,13
merge,sorted_1000.csv,1000,30,4
quick,sorted_1000.csv,1000,30,16
counting,sorted_1000.csv,1000,30,2
bubble,sorted_1000.csv,1000,400,64
merge,sorted_10000.csv,10000,30,25
quick,sorted_10000.csv,10000,30,336
counting,sorted_10000.csv,10000,30,13
merge,sorted_2500.csv,2500,30,10
quick,sorted_2500.csv,2500,30,34
counting,sorted_2500.csv,2500,30,3
bubble,sorted_2500.csv,2500,400,317
merge,sorted_500.csv,500,30,3
quick,sorted_500.csv,500,30,24
counting,sorted_500.csv,500,30,1
bubble,sorted_500.csv,500,400,24
merge,sorted_5000.csv,5000,30,20
quick,sorted_5000.csv,5000,30,93
counting,sorted_5000.csv,5000,30,5
merge,sorted_7500.csv,7500,30,19
quick,sorted_7500.csv,7500,30,209
counting,sorted_7500.csv,7500,30,7
merge,reverse_100.csv,100,30,1
quick,reverse_100.csv,100,30,0
counting,reverse_100.csv,100,30,1
bubble,reverse_100.csv,100,400,15
merge,reverse_1000.csv,1000,30,2
quick,reverse_1000.csv,1000,30,22
counting,reverse_1000.csv,1000,30,2
bubble,reverse_1000.csv,1000,400,153
merge,reverse_10000.csv,10000,30,40
quick,reverse_10000.csv,10000,30,864
counting,reverse_10000.csv,10000,30,8
merge,reverse_2500.csv,2500,30,10
quick,reverse_2500.csv,2500,30,82
counting,reverse_2500.csv,2500,30,2
bubble,reverse_2500.csv,2500,400,883
merge,reverse_500.csv,500,30,2
quick,reverse_500.csv,500,30,20
counting,reverse_500.csv,500,30,3
bubble,reverse_500.csv,500,400,48
merge,reverse_5000.csv,5000,30,21
quick,reverse_5000.csv,5000,30,314
counting,reverse_5000.csv,5000,30,6
merge,reverse_7500.csv,7500,30,32
quick,reverse_7500.csv,7500,30,694
counting,reverse_7500.csv,7500,30,7
merge,nearly_sorted_100.csv,100,30,1
quick,nearly_sorted_100.csv,100,30,1
counting,nearly_sorted_100.csv,100,30,0
bubble,nearly_sorted_100.csv,100,400,9
merge,nearly_sorted_1000.csv,1000,30,3
quick,nearly_sorted_1000.csv,1000,30,4
counting,nearly_sorted_1000.csv,1000,30,2
bubble,nearly_sorted_1000.csv,1000,400,102
merge,nearly_sorted_10000.csv,10000,30,44
quick,nearly_sorted_10000.csv,10000,30,23
counting,nearly_sorted_10000.csv,10000,30,6
merge,nearly_sorted_2500.csv,2500,30,13
quick,nearly_sorted_2500.csv,2500,30,7
counting,nearly_sorted_2500.csv,2500,30,3
bubble,nearly_sorted_2500.csv,2500,400,792
merge,nearly_sorted_500.csv,500,30,5
quick,nearly_sorted_500.csv,500,30,2
counting,nearly_sorted_500.csv,500,30,1
bubble,nearly_sorted_500.csv,500,400,37
merge,nearly_sorted_5000.csv,5000,30,26
quick,nearly_sorted_5000.csv,5000,30,24
counting,nearly_sorted_5000.csv,5000,30,4
merge,nearly_sorted_7500.csv,7500,30,20
quick,nearly_sorted_7500.csv,7500,30,22
counting,nearly_sorted_7500.csv,7500,30,6
